name,increased,decreased
hardy,,
lonely,attack,defense
brave,attack,speed
adamant,attack,sp_attack
naughty,attack,sp_defense
bold,defense,attack
docile,,
relaxed,defense,speed
impish,defense,sp_attack
lax,defense,sp_defense
timid,speed,attack
hasty,speed,defense
serious,,
jolly,speed,sp_attack
naive,speed,sp_defense
modest,sp_attack,attack
mild,sp_attack,defense
quiet,sp_attack,speed
bashful,,
rash,sp_attack,sp_defense
calm,sp_defense,attack
gentle,sp_defense,defense
sassy,sp_defense,speed
careful,sp_defense,sp_attack
quirky,,
